
> rae-reputation-arbitrage-engine@0.1.0 sensitivity:replacement
> tsx scripts/replacement-sensitivity.ts

# Replacement-level sensitivity sweep
# generated 2026-08-20T13:51:45.976Z
# baseline: depthCushion=1.2 superflexQbOccupancy=1
# pool: 230 players (QB40 RB70 WR90 TE30)

## 1. Replacement rank by cushion (all league shapes)

shape                  cushion   QB   RB   WR   TE
12T PPR 3FLEX          1.20      14   48   53   14
12T PPR 3FLEX          1.30      16   52   57   16
12T PPR 3FLEX          1.40      17   56   62   17
12T PPR redraft        1.00      12   29   31   12
12T PPR redraft        1.10      13   32   34   13
12T PPR redraft        1.20      14   35   37   14
12T PPR redraft        1.30      16   38   40   16
12T PPR redraft        1.40      17   41   43   17
12T PPR keeper         1.00      12   29   31   12
12T PPR keeper         1.10      13   32   34   13
12T PPR keeper         1.20      14   35   37   14
12T PPR keeper         1.30      16   38   40   16
12T PPR keeper         1.40      17   41   43   17
12T PPR dynasty        1.00      12   29   31   12
12T PPR dynasty        1.10      13   32   34   13
12T PPR dynasty        1.20      14   35   37   14
12T PPR dynasty        1.30      16   38   40   16
12T PPR dynasty        1.40      17   41   43   17
14T STD 1QB            1.00      14   35   35   14
14T STD 1QB            1.10      15   39   39   15
14T STD 1QB            1.20      17   42   42   17
14T STD 1QB            1.30      18   46   46   18
14T STD 1QB            1.40      20   49   49   20
14T STD SFLEX          1.00      28   35   35   14
14T STD SFLEX          1.10      31   39   39   15
14T STD SFLEX          1.20      34   42   42   17
14T STD SFLEX          1.30      36   46   46   18
14T STD SFLEX          1.40      39   49   49   20
14T STD 2QB            1.00      28   35   35   14
14T STD 2QB            1.10      31   39   39   15
14T STD 2QB            1.20      34   42   42   17
14T STD 2QB            1.30      36   46   46   18
14T STD 2QB            1.40      39   49   49   20
14T STD 2TE            1.00      14   34   34   31
14T STD 2TE            1.10      15   37   37   34
14T STD 2TE            1.20      17   40   40   37
14T STD 2TE            1.30      18   44   44   40
14T STD 2TE            1.40      20   47   47   43
14T STD noK            1.00      14   35   35   14
14T STD noK            1.10      15   39   39   15
14T STD noK            1.20      17   42   42   17
14T STD noK            1.30      18   46   46   18
14T STD noK            1.40      20   49   49   20
14T STD 0FLEX          1.00      14   28   28   14
14T STD 0FLEX          1.10      15   31   31   15
14T STD 0FLEX          1.20      17   34   34   17
14T STD 0FLEX          1.30      18   36   36   18
14T STD 0FLEX          1.40      20   39   39   20
14T STD 3FLEX          1.00      14   49   49   14
14T STD 3FLEX          1.10      15   54   54   15
14T STD 3FLEX          1.20      17   59   59   17
14T STD 3FLEX          1.30      18   64   64   18
14T STD 3FLEX          1.40      20   69   69   20
14T HALF 1QB           1.00      14   34   36   14
14T HALF 1QB           1.10      15   38   39   15
14T HALF 1QB           1.20      17   41   43   17
14T HALF 1QB           1.30      18   44   47   18
14T HALF 1QB           1.40      20   48   50   20
14T HALF SFLEX         1.00      28   34   36   14
14T HALF SFLEX         1.10      31   38   39   15
14T HALF SFLEX         1.20      34   41   43   17
14T HALF SFLEX         1.30      36   44   47   18
14T HALF SFLEX         1.40      39   48   50   20
14T HALF 2QB           1.00      28   34   36   14
14T HALF 2QB           1.10      31   38   39   15
14T HALF 2QB           1.20      34   41   43   17
14T HALF 2QB           1.30      36   44   47   18
14T HALF 2QB           1.40      39   48   50   20
14T HALF 2TE           1.00      14   33   34   31
14T HALF 2TE           1.10      15   36   38   34
14T HALF 2TE           1.20      17   40   41   37
14T HALF 2TE           1.30      18   43   45   40
14T HALF 2TE           1.40      20   46   48   43
14T HALF noK           1.00      14   34   36   14
14T HALF noK           1.10      15   38   39   15
14T HALF noK           1.20      17   41   43   17
14T HALF noK           1.30      18   44   47   18
14T HALF noK           1.40      20   48   50   20
14T HALF 0FLEX         1.00      14   28   28   14
14T HALF 0FLEX         1.10      15   31   31   15
14T HALF 0FLEX         1.20      17   34   34   17
14T HALF 0FLEX         1.30      18   36   36   18
14T HALF 0FLEX         1.40      20   39   39   20
14T HALF 3FLEX         1.00      14   47   51   14
14T HALF 3FLEX         1.10      15   51   56   15
14T HALF 3FLEX         1.20      17   56   62   17
14T HALF 3FLEX         1.30      18   61   67   18
14T HALF 3FLEX         1.40      20   65   72   20
14T PPR 1QB            1.00      14   34   36   14
14T PPR 1QB            1.10      15   38   39   15
14T PPR 1QB            1.20      17   41   43   17
14T PPR 1QB            1.30      18   44   47   18
14T PPR 1QB            1.40      20   48   50   20
14T PPR SFLEX          1.00      28   34   36   14
14T PPR SFLEX          1.10      31   38   39   15
14T PPR SFLEX          1.20      34   41   43   17
14T PPR SFLEX          1.30      36   44   47   18
14T PPR SFLEX          1.40      39   48   50   20
14T PPR 2QB            1.00      28   34   36   14
14T PPR 2QB            1.10      31   38   39   15
